account_id,product_id,date_id,quantity
1075,237,2023-01-05,17
1139,230,2023-01-27,15
1089,238,2023-01-17,16
1235,285,2023-01-20,13
1048,210,2023-01-12,14
1076,237,2023-01-05,18
1182,207,2023-01-01,15
1398,225,2023-01-12,16
1461,251,2023-01-30,17
1424,235,2023-01-18,18
1468,282,2023-01-18,13
1290,203,2023-01-25,13
1246,253,2023-01-21,13
1199,220,2023-01-29,19
1133,221,2023-01-22,19
1160,295,2023-01-07,17
1415,282,2023-01-02,14
1463,222,2023-01-28,12
1180,260,2023-01-21,17
1199,278,2023-01-29,19
1112,288,2023-01-13,15
1147,298,2023-01-30,15
1245,255,2023-01-13,16
1186,212,2023-01-14,20
1389,280,2023-01-25,19
1177,276,2023-01-23,18
1220,208,2023-01-25,13
1118,297,2023-01-22,13
1274,270,2023-01-18,11
1392,297,2023-01-04,18
1481,212,2023-01-24,11
1319,261,2023-01-12,19
1457,267,2023-01-03,11
1081,246,2023-01-11,20
1070,221,2023-01-20,12
1194,214,2023-01-20,14
1032,225,2023-01-31,14
1498,212,2023-01-13,12
1142,278,2023-01-10,18
1497,219,2023-01-28,14
1013,253,2023-01-09,17
1100,205,2023-01-25,19
1165,202,2023-01-14,17
1087,242,2023-01-13,18
1414,239,2023-01-24,12
1222,282,2023-01-23,13
1021,223,2023-01-30,13
1450,280,2023-01-01,17
1416,260,2023-01-27,11
1096,275,2023-01-08,20
1050,264,2023-01-03,18
1020,296,2023-01-29,19
1475,224,2023-01-23,12
1027,253,2023-01-02,15
1092,233,2023-01-13,11
1376,259,2023-01-24,14
1359,242,2023-01-16,16
1491,283,2023-01-13,15
1217,260,2023-01-30,19
1055,264,2023-01-10,17
1317,207,2023-01-11,15
1134,263,2023-01-02,15
1078,299,2023-01-10,11
1418,284,2023-01-23,11
1079,227,2023-01-11,15
1365,239,2023-01-27,17
1107,291,2023-01-13,20
1118,224,2023-01-26,15
1259,240,2023-01-26,19
1246,224,2023-01-23,12
1210,287,2023-01-29,20
1209,257,2023-01-20,13
1291,212,2023-01-08,15
1090,262,2023-01-13,14
1054,295,2023-01-08,16
1469,245,2023-01-13,20
1480,250,2023-01-31,15
1437,243,2023-01-02,11
1248,269,2023-01-12,18
1337,216,2023-01-24,16
1275,282,2023-01-09,17
1079,288,2023-01-25,12
1160,241,2023-01-09,12
1172,232,2023-01-20,19
1421,284,2023-01-13,18
1173,208,2023-01-10,15
1482,218,2023-01-24,12
1240,260,2023-01-29,15
1257,258,2023-01-18,20
1138,224,2023-01-18,17
1088,278,2023-01-09,17
1379,228,2023-01-29,11
1287,288,2023-01-19,15
1017,219,2023-01-01,16
1491,265,2023-01-15,20
1412,290,2023-01-14,14
1420,275,2023-01-18,14
1266,269,2023-01-27,15
1098,276,2023-01-09,13
1133,212,2023-01-20,15
1341,214,2023-01-21,12
1201,208,2023-02-22,20
1473,232,2023-02-07,15
1459,273,2023-02-18,20
1468,213,2023-02-11,19
1435,277,2023-02-17,14
1050,266,2023-02-22,19
1099,294,2023-02-24,18
1138,251,2023-02-23,18
1154,259,2023-02-17,19
1084,250,2023-02-26,11
1282,206,2023-02-17,17
1355,230,2023-02-02,13
1266,226,2023-02-08,16
1368,298,2023-02-07,16
1202,256,2023-02-25,19
1366,273,2023-02-10,13
1431,285,2023-02-11,17
1040,297,2023-02-03,12
1374,254,2023-02-24,18
1138,254,2023-02-18,15
1241,263,2023-02-25,12
1220,273,2023-02-27,12
1037,227,2023-02-23,16
1226,235,2023-02-05,15
1146,229,2023-02-24,20
1313,264,2023-02-01,19
1148,284,2023-02-19,15
1065,242,2023-02-12,11
1320,235,2023-02-14,16
1074,220,2023-02-14,19
1495,236,2023-02-12,12
1215,248,2023-02-14,13
1413,205,2023-02-21,12
1140,214,2023-02-01,16
1145,238,2023-02-01,12
1050,276,2023-02-16,17
1187,299,2023-02-04,20
1250,206,2023-02-10,13
1250,207,2023-02-12,14
1030,224,2023-02-04,17
1112,224,2023-02-16,13
1218,243,2023-02-14,12
1264,245,2023-02-08,18
1255,287,2023-02-25,11
1168,265,2023-02-19,20
1170,239,2023-02-02,19
1167,216,2023-02-23,18
1396,231,2023-02-18,19
1136,200,2023-02-08,14
1026,220,2023-02-15,11
1373,219,2023-02-24,15
1116,240,2023-02-16,15
1353,247,2023-02-17,20
1432,247,2023-02-27,11
1263,241,2023-02-23,20
1498,218,2023-02-21,12
1216,218,2023-02-12,18
1312,282,2023-02-09,11
1212,288,2023-02-13,19
1099,222,2023-02-20,14
1291,201,2023-02-23,18
1488,240,2023-02-02,16
1043,202,2023-02-04,20
1193,209,2023-02-01,16
1223,275,2023-02-11,15
1339,264,2023-02-06,12
1269,265,2023-02-23,15
1117,285,2023-02-22,11
1457,229,2023-02-21,20
1121,233,2023-02-26,20
1360,208,2023-02-18,20
1242,201,2023-02-23,20
1480,210,2023-02-26,11
1497,237,2023-02-21,14
1498,282,2023-02-22,19
1209,250,2023-02-19,18
1244,233,2023-02-10,15
1146,210,2023-02-15,16
1480,256,2023-02-10,15
1119,242,2023-02-12,13
1050,218,2023-02-12,17
1335,212,2023-02-24,15
1417,275,2023-02-13,11
1343,290,2023-02-17,13
1313,265,2023-02-19,11
1499,246,2023-02-08,16
1417,260,2023-02-04,20
1332,290,2023-02-14,11
1111,227,2023-02-22,17
1006,283,2023-02-04,20
1040,275,2023-02-26,13
1423,256,2023-02-04,16
1064,259,2023-02-02,19
1057,270,2023-02-27,20
1050,247,2023-02-27,12
1220,201,2023-02-24,17
1228,210,2023-02-04,17
1072,208,2023-02-28,12
